# Usage of the SMARTS in these files is allowed only adhering to the CC-BY-ND license in this directory
SMARTS,trivialname,group
N12NCCCC1NCC2,"1,2,3,5,6,7,8,8a-octahydroimidazo[1,2-b]pyridazine",cyclic
N12C(NCC2)CCNC1,"1,2,3,5,6,7,8,8a-octahydroimidazo[1,2-c]pyrimidine",cyclic
N12C(CNC1)CNCC2,"1,2,3,5,6,7,8,8a-octahydroimidazo[1,5-a]pyrazine",cyclic
N12C(CNC1)CCCC2,"1,2,3,5,6,7,8,8a-octahydroimidazo[1,5-a]pyridine",cyclic
N12C(CNC1)CCNC2,"1,2,3,5,6,7,8,8a-octahydroimidazo[1,5-c]pyrimidine",cyclic
N12C(CCC1)CCCC2,"1,2,3,5,6,7,8,8a-octahydroindolizine",cyclic
N12N(CCC1)CCCCC2,"1,2,3,5,6,7,8,9-octahydropyrazolo[1,2-a]diazepine",cyclic
O1CC2N(CCN2)CCC1,"1,2,3,5,6,7,9,9a-octahydroimidazo[2,1-c][1,4]oxazepine",cyclic
N12N(CNC1)CNC2,"1,2,3,5,6,7-hexahydro-[1,2,4]triazolo[1,2-a][1,2,4]triazole",cyclic
N12N(CNC1)CCC2,"1,2,3,5,6,7-hexahydropyrazolo[1,2-a][1,2,4]triazole",cyclic
N12N(CCC1)CCC2,"1,2,3,5,6,7-hexahydropyrazolo[1,2-a]pyrazole",cyclic
O1CCN2C(NCC2)CC1,"1,2,3,5,6,8,9,9a-octahydroimidazo[1,2-d][1,4]oxazepine",cyclic
O1CN2C(CNC1)CCC2,"1,2,3,5,7,8,9,9a-octahydropyrrolo[1,2-c][1,3,6]oxadiazepine",cyclic
P=1ON=NC1,"1,2,3,5-oxadiazaphosphole",cyclic
P=1ONN=C1,"1,2,3,5-oxadiazaphosphole",cyclic
O1NNCNC1,"1,2,3,5-oxatriazinane",cyclic
o1nncn1,"1,2,3,5-oxatriazole",cyclic
O1NNCN1,"1,2,3,5-oxatriazolidine",cyclic
P=1POP=C1,"1,2,3,5-oxatriphosphole",cyclic
N1NCNCN1,"1,2,3,5-tetrazinane",cyclic
n1ncncn1,"1,2,3,5-tetrazine",cyclic
s1nncn1,"1,2,3,5-thiatriazole",cyclic
S1NNCN1,"1,2,3,5-thiatriazolidine",cyclic
S1P=C=PP1,"1,2,3,5-thiatriphosphole",cyclic
S1P=PC=P1,"1,2,3,5-thiatriphosphole",cyclic
[S+]1=PC=PP1,"1,2,3,5-thiatriphosphole",cyclic
[S+]=1P=PCP1,"1,2,3,5-thiatriphosphole",cyclic
O1N2C(NCC2)CC1,"1,2,3,6,7,7a-hexahydroimidazo[1,2-b][1,2]oxazole",cyclic
O1N2C(NCC2)CCCC1,"1,2,3,6,7,8,9,9a-octahydroimidazo[1,2-b]oxazepine",cyclic
P1NCC=CC1,"1,2,3,6-tetrahydroazaphosphinine",cyclic
P1PCC=CC1,"1,2,3,6-tetrahydrodiphosphinine",cyclic
P1CC=CCC1,"1,2,3,6-tetrahydrophosphinine",cyclic
n1nccnccn1,"1,2,3,6-tetrazocine",cyclic
S1NNCCN1,"1,2,3,6-thiatriazinane",cyclic
P1NNCPCCC1,"1,2,3,7-diazadiphosphocane",cyclic
o1nncccn1,"1,2,3,7-oxatriazepine",cyclic
s1nncccn1,"1,2,3,7-thiatriazepine",cyclic
s1nnc2c1cccc2,"1,2,3-benzothiadiazole",cyclic
o1nnc2c1cccc2,"1,2,3-benzoxadiazole",cyclic
o1nncc1,"1,2,3-oxadiazole",cyclic
s1nncc1,"1,2,3-thiadiazole",cyclic
N12NNCC1C2,"1,2,3-triazabicyclo[3.1.0]hexane",cyclic
n1ccncn1,"1,2,3-triazine",cyclic
n1(ccnn1),"1,2,3-triazole",cyclic
P1PCCCCCCCCP1,"1,2,3-triphosphacycloundecane",cyclic
O1C2NCCCC2NC1,"1,2,3a,4,5,6,7,7a-octahydro-[1,3]oxazolo[5,4-b]pyridine",cyclic
O1C2C(NC1)CCNC2,"1,2,3a,4,5,6,7,7a-octahydro-[1,3]oxazolo[5,4-c]pyridine",cyclic
S1C2NCCCC2NC1,"1,2,3a,4,5,6,7,7a-octahydro-[1,3]thiazolo[5,4-b]pyridine",cyclic
S1C2C(NC1)CCNC2,"1,2,3a,4,5,6,7,7a-octahydro-[1,3]thiazolo[5,4-c]pyridine",cyclic
S1NNC2C1CNCC2,"1,2,3a,4,5,6,7,7a-octahydrothiadiazolo[5,4-c]pyridine",cyclic
P1OOC=C=N1,"1,2,4,3-dioxazaphosphinine",cyclic
P=1OOC=CN1,"1,2,4,3-dioxazaphosphinine",cyclic
P1OOCCO1,"1,2,4,3-trioxaphosphinane",cyclic
O1CNC2C(C1)CCC2,"1,2,4,4a,5,6,7,7a-octahydrocyclopenta[d][1,3]oxazine",cyclic
S1CNC2C(C1)CCC2,"1,2,4,4a,5,6,7,7a-octahydrocyclopenta[d][1,3]thiazine",cyclic
O1CNC2C(C1)CNC2,"1,2,4,4a,5,6,7,7a-octahydropyrrolo[3,4-d][1,3]oxazine",cyclic
O1CCN2C(CC1)CCC2,"1,2,4,5,7,8,9,9a-octahydropyrrolo[1,2-d][1,4]oxazepine",cyclic
S1CCN2C(CC1)CCC2,"1,2,4,5,7,8,9,9a-octahydropyrrolo[1,2-d][1,4]thiazepine",cyclic
P1PCPPC1,"1,2,4,5-tetraphosphinane",cyclic
N1NCNNC1,"1,2,4,5-tetrazinane",cyclic
n1ncnnc1,"1,2,4,5-tetrazine",cyclic
S1NCNCN1,"1,2,4,6-thiatriazinane",cyclic
s1ncnccn1,"1,2,4,7-thiatriazepine",cyclic
P1NPC1,"1,2,4-azadiphosphetidine",cyclic
P1CNNC1,"1,2,4-diazaphospholidine",cyclic
O1NCNCCC1,"1,2,4-oxadiazepane",cyclic
o1ncnccc1,"1,2,4-oxadiazepine",cyclic
O1NCN1,"1,2,4-oxadiazetidine",cyclic
O1NCNCC1,"1,2,4-oxadiazinane",cyclic
o1ncnc1,"1,2,4-oxadiazole",cyclic
O1NCNC1,"1,2,4-oxadiazolidine",cyclic
P1OCPC1,"1,2,4-oxadiphospholane",cyclic
P=1OC=PC1,"1,2,4-oxadiphosphole",cyclic
S1OPC1,"1,2,4-oxathiaphosphetane",cyclic
S1OCPC1,"1,2,4-oxathiaphospholane",cyclic
P1ONC1,"1,2,4-oxazaphosphetidine",cyclic
P1CNOCC1,"1,2,4-oxazaphosphinane",cyclic
S1NCNCCC1,"1,2,4-thiadiazepane",cyclic
s1ncnccc1,"1,2,4-thiadiazepine",cyclic
S1NCNCC1,"1,2,4-thiadiazinane",cyclic
s1ncnc1,"1,2,4-thiadiazole",cyclic
S1NCNC1,"1,2,4-thiadiazolidine",cyclic
S1PCP1,"1,2,4-thiadiphosphetane",cyclic
S1P=CP=C1,"1,2,4-thiadiphosphole",cyclic
[S+]=1P=CPC1,"1,2,4-thiadiphosphole",cyclic
[S+]=1PC=PC1,"1,2,4-thiadiphosphole",cyclic
S1N=CP=C1,"1,2,4-thiazaphosphole",cyclic
[S+]=1N=CPC1,"1,2,4-thiazaphosphole",cyclic
[S+]=1NC=PC1,"1,2,4-thiazaphosphole",cyclic
N1NCCCNC1,"1,2,4-triazepane",cyclic
N1NCCNC1,"1,2,4-triazinane",cyclic
n1nccnc1,"1,2,4-triazine",cyclic
n1nccccnc1,"1,2,4-triazocine",cyclic
n1(cncn1),"1,2,4-triazole",cyclic
N1NCNC1,"1,2,4-triazolidine",cyclic
N1NCCCCCNC1,"1,2,4-triazonane",cyclic
P1OOCOC1,"1,2,5,3-trioxaphosphinane",cyclic
o1nccnnc1,"1,2,5,6-oxatriazepine",cyclic
P1N=CCCN1,"1,2,5,6-tetrahydro-1,3,2-diazaphosphinine",cyclic
P1=CCCNC1,"1,2,5,6-tetrahydro-1,3-azaphosphinine",cyclic
P1NCCC=C1,"1,2,5,6-tetrahydroazaphosphinine",cyclic
P=1NNCCC1,"1,2,5,6-tetrahydrodiazaphosphinine",cyclic
P=1PPCCC1,"1,2,5,6-tetrahydrotriphosphinine",cyclic
N12N(N1)CCN2,"1,2,5,6-tetrazabicyclo[3.1.0]hexane",cyclic
N1NCCNNCC1,"1,2,5,6-tetrazocane",cyclic
n1nccnncc1,"1,2,5,6-tetrazocine",cyclic
N12N(CN1)CCN2,"1,2,5,7-tetrazabicyclo[3.2.0]heptane",cyclic
P1NCPCC1,"1,2,5-azadiphosphinane",cyclic
O1NCCNCC1,"1,2,5-oxadiazepane",cyclic
o1nccncc1,"1,2,5-oxadiazepine",cyclic
O1NCCNC1,"1,2,5-oxadiazinane",cyclic
O1NCCNCCC1,"1,2,5-oxadiazocane",cyclic
o1nccn1,"1,2,5-oxadiazole",cyclic
O1NCCN1,"1,2,5-oxadiazolidine",cyclic
O1NCCNCCCC1,"1,2,5-oxadiazonane",cyclic
P=1OP=CC1,"1,2,5-oxadiphosphole",cyclic
P=1OPC=C1,"1,2,5-oxadiphosphole",cyclic
S1OCPCC1,"1,2,5-oxathiaphosphinane",cyclic
S1OPCC1,"1,2,5-oxathiaphospholane",cyclic
P1ON=C=C1,"1,2,5-oxazaphosphole",cyclic
P=1ON=CC1,"1,2,5-oxazaphosphole",cyclic
P=1ONC=C1,"1,2,5-oxazaphosphole",cyclic
P1ONCC1,"1,2,5-oxazaphospholidine",cyclic
S1NCCNCC1,"1,2,5-thiadiazepane",cyclic
s1nccncc1,"1,2,5-thiadiazepine",cyclic
S1NCCNC1,"1,2,5-thiadiazinane",cyclic
s1nccn1,"1,2,5-thiadiazole",cyclic
S1NCCN1,"1,2,5-thiadiazolidine",cyclic
S1P=C=CP1,"1,2,5-thiadiphosphole",cyclic
S1P=CC=P1,"1,2,5-thiadiphosphole",cyclic
[S+]1=PC=CP1,"1,2,5-thiadiphosphole",cyclic
[S+]=1P=CCP1,"1,2,5-thiadiphosphole",cyclic
N1NCCNCC1,"1,2,5-triazepane",cyclic
N1NCCCNCC1,"1,2,5-triazocane",cyclic
n1ncccncc1,"1,2,5-triazocine",cyclic
N1NCCCCNCC1,"1,2,5-triazonane",cyclic
P1NPCCC1,"1,2,6-azadiphosphinane",cyclic
O1NCCCN1,"1,2,6-oxadiazinane",cyclic
O1NCCCNCC1,"1,2,6-oxadiazocane",cyclic
P1ONCCC1,"1,2,6-oxazaphosphinane",cyclic
S1NCCCNC1,"1,2,6-thiadiazepane",cyclic
s1ncccnc1,"1,2,6-thiadiazepine",cyclic
S1NCCCN1,"1,2,6-thiadiazinane",cyclic
N1NCCCNCCC1,"1,2,6-triazonane",cyclic
O1NCCCCN1,"1,2,7-oxadiazepane",cyclic
P1OCCCPCCCC1,"1,2,7-oxadiphosphecane",cyclic
S1NCCCCN1,"1,2,7-thiadiazepane",cyclic
s1nccccn1,"1,2,7-thiadiazepine",cyclic
P1NPCCCCC1,"1,2,8-azadiphosphocane",cyclic
O1NCCCCCNC1,"1,2,8-oxadiazonane",cyclic
S1NCCCCCN1,"1,2,8-thiadiazocane",cyclic
S1NCCCCCNC1,"1,2,8-thiadiazonane",cyclic
S1NCCCCCCN1,"1,2,9-thiadiazonane",cyclic
s1nccccccn1,"1,2,9-thiadiazonine",cyclic
O=C1NCNc2ccccc21,"1,2-Dihydroquinazoline-4(3H)-one",cyclic
c1cccc2c1SNC2=O,"1,2-benzisothiazole-3(2H)-one",cyclic
N12NCCC1C2,"1,2-diazabicyclo[3.1.0]hexane",cyclic
N12NCCC1CC2,"1,2-diazabicyclo[3.2.0]heptane",cyclic
n12ncccc1c2,"1,2-diazabicyclo[4.1.0]hepta-2,4,6-triene",cyclic
N12NCCCC1C2,"1,2-diazabicyclo[4.1.0]heptane",cyclic
N12NCCCC1CC2,"1,2-diazabicyclo[4.2.0]octane",cyclic
N12NCCCCC1CC2,"1,2-diazabicyclo[5.2.0]nonane",cyclic
N1C=CC=CC=N1,"1,2-diazepine",cyclic
N1CCN1,"1,2-diazetidine",cyclic
P1=NPN1,"1,2-dihydro-1,3,2,4-diazadiphosphete",cyclic
P1N=CN1,"1,2-dihydro-1,3,2-diazaphosphete",cyclic
P1N=CC=CN1,"1,2-dihydro-1,3,2-diazaphosphinine",cyclic
P1NC=C=CN1,"1,2-dihydro-1,3,2-diazaphosphinine",cyclic
P1N=CN=CN1,"1,2-dihydro-1,3,5,2-triazaphosphinine",cyclic
P1N=CNC=N1,"1,2-dihydro-1,3,5,2-triazaphosphinine",cyclic
P1=CPC1,"1,2-dihydro-1,3-diphosphete",cyclic
P=1C=CPCC1,"1,2-dihydro-1,4-diphosphinine",cyclic
P1NC=C1,"1,2-dihydroazaphosphete",cyclic
P1NC=CC=C1,"1,2-dihydroazaphosphinine",cyclic
n1ncc1,"1,2-dihydrodiazete",cyclic
P1PC=C1,"1,2-dihydrodiphosphete",cyclic
c1cccc2c1C=CNC2,"1,2-dihydroisoquinoline",cyclic
P1C=CC1,"1,2-dihydrophosphete",cyclic
P1C=CC=CC1,"1,2-dihydrophosphinine",cyclic
c1cccc2c1C=CCN2,"1,2-dihydroquinoline",cyclic
P1=PPP1,"1,2-dihydrotetraphosphete",cyclic
n1ncn1,"1,2-dihydrotriazete",cyclic
P1PCCCCCCCOO1,"1,2-dioxa-3,4-diphosphacycloundecane",cyclic
S1SCCCCCCCPP1,"1,2-dithia-3,4-diphosphacycloundecane",cyclic
O1NCCC1,"1,2-oxazolidine",cyclic
O1SCCC1,"1,2-oxothiolane",cyclic
S1NCCC1,"1,2-thiazolidine",cyclic
P1NPN1,"1,3,2,4-diazadiphosphetidine",cyclic
P1OPO1,"1,3,2,4-dioxadiphosphetane",cyclic
S1OPO1,"1,3,2,4-dioxathiaphosphetane",cyclic
P1ONOCCC1,"1,3,2,4-dioxazaphosphepane",cyclic
S1PSP1,"1,3,2,4-dithiadiphosphetane",cyclic
S1P=CON1,"1,3,2,4-oxathiazaphosphole",cyclic
S1PCON1,"1,3,2,4-oxathiazaphospholidine",cyclic
S1PNP1,"1,3,2,4-thiazadiphosphetidine",cyclic
P1OCPCO1,"1,3,2,5-dioxadiphosphinane",cyclic
P1NCCCCN1,"1,3,2-diazaphosphepane",cyclic
P1NCN1,"1,3,2-diazaphosphetidine",cyclic
P1NCCCN1,"1,3,2-diazaphosphinane",cyclic
P1NCCCCCN1,"1,3,2-diazaphosphocane",cyclic
P1NCCN1,"1,3,2-diazaphospholidine",cyclic
P1OCCCCO1,"1,3,2-dioxaphosphepane",cyclic
P1OC=CC=CO1,"1,3,2-dioxaphosphepine",cyclic
P1OCO1,"1,3,2-dioxaphosphetane",cyclic
P1OCCCO1,"1,3,2-dioxaphosphinane",cyclic
P1OCCCCCO1,"1,3,2-dioxaphosphocane",cyclic
P1OCCO1,"1,3,2-dioxaphospholane",cyclic
P1OC=CO1,"1,3,2-dioxaphosphole",cyclic
P1OCCCCCCO1,"1,3,2-dioxaphosphonane",cyclic
S1PSC=CC=C1,"1,3,2-dithiaphosphepine",cyclic
S1PSC1,"1,3,2-dithiaphosphetane",cyclic
S1PSCCC1,"1,3,2-dithiaphosphinane",cyclic
[S+]1=PSC=C1,"1,3,2-dithiaphosphol-1-ium",cyclic
[S+]=1PSC=C1,"1,3,2-dithiaphosphol-1-ium",cyclic
S1PSCC1,"1,3,2-dithiaphospholane",cyclic
S1PSC=C1,"1,3,2-dithiaphosphole",cyclic
S1POCCC1,"1,3,2-oxathiaphosphinane",cyclic
S1POCC1,"1,3,2-oxathiaphospholane",cyclic
S1POC=C1,"1,3,2-oxathiaphosphole",cyclic
P1OCCCCN1,"1,3,2-oxazaphosphepane",cyclic
P1OCCCN1,"1,3,2-oxazaphosphinane",cyclic
P1OC=C=N1,"1,3,2-oxazaphosphole",cyclic
P=1OC=CN1,"1,3,2-oxazaphosphole",cyclic
P1OCCN1,"1,3,2-oxazaphospholidine",cyclic
S1PNCCC1,"1,3,2-thiazaphosphinane",cyclic
S1P=NC=C1,"1,3,2-thiazaphosphole",cyclic
S1PN=C=C1,"1,3,2-thiazaphosphole",cyclic
[S+]=1P=NCC1,"1,3,2-thiazaphosphole",cyclic
[S+]=1PN=CC1,"1,3,2-thiazaphosphole",cyclic
S1PNCC1,"1,3,2-thiazaphospholidine",cyclic
S1NC2C(C1)CCCC2,"1,3,3a,4,5,6,7,7a-octahydro-2,1-benzothiazole",cyclic
O1NC2C(C1)CCCC2,"1,3,3a,4,5,6,7,7a-octahydro-2,1-benzoxazole",cyclic
O1CC2C(C1)CCCC2,"1,3,3a,4,5,6,7,7a-octahydro-2-benzofuran",cyclic
S1CC2C(C1)CCCC2,"1,3,3a,4,5,6,7,7a-octahydro-2-benzothiophene",cyclic
O1NC2C(N1)CCCC2,"1,3,3a,4,5,6,7,7a-octahydrobenzo[c][1,2,5]oxadiazole",cyclic
S1NC2C(N1)CCCC2,"1,3,3a,4,5,6,7,7a-octahydrobenzo[c][1,2,5]thiadiazole",cyclic
O1CC2C(C1)CCNC2,"1,3,3a,4,5,6,7,7a-octahydrofuro[3,4-c]pyridine",cyclic
S1CC2C(C1)CCNC2,"1,3,3a,4,5,6,7,7a-octahydrothieno[3,4-c]pyridine",cyclic
P1ON=CO1,"1,3,4,2-dioxazaphosphole",cyclic
P1OCCNN1,"1,3,4,2-oxadiazaphosphinane",cyclic
P=1OC=NN1,"1,3,4,2-oxadiazaphosphole",cyclic
S1P=NN=C1,"1,3,4,2-thiadiazaphosphole",cyclic
[S+]=1P=NNC1,"1,3,4,2-thiadiazaphosphole",cyclic
[S+]=1PN=NC1,"1,3,4,2-thiadiazaphosphole",cyclic
O1CC2C(CC1)CCC2,"1,3,4,4a,5,6,7,7a-octahydrocyclopenta[c]pyran",cyclic
