# Usage of the SMARTS in these files is allowed only adhering to the CC-BY-ND license in this directory
SMARTS,trivialname,group
O=C([N])C(N)C[Se],Selenocysteine-peptide,biological
C(C(C(=O)O)N)O,Serine,biological
C(C(C(=O)O)N)[N],Serine-peptide,biological
C(=Cc1ccccc1)c1ccccc1,Stilbene,biological
C(CC(=O)O)C(=O)O,Succinic acid,biological
O=C(O)CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n2cnc1c(ncnc12)N)[C@H](O)[C@@H]3OP(=O)(O)O,Succinyl-CoA,biological
O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@@]2(O[C@@H]([C@@H](O)[C@@H]2O)CO)CO,Sucrose,biological
C[C@H](C(C(=O)O)N)O,Threonine,biological
C[C@H](C(C(=O)[N])N)O,Threonine-peptide,biological
c1([nX3H1]c(c(c[nX3H1]1)C)=O)=O,Thymine,biological
[CH3]c1ccccc1,Toluene,biological
c1nc2ccccc2c1CC(N)C(=O)O,Tryptophan,biological
c1nc2ccccc2c1CC(N)C(=O)[N],Tryptophan-peptide,biological
NC(Cc1ccc(O)cc1)C(O)=O,Tyrosine,biological
NC(Cc1ccc(O)cc1)C([N])=O,Tyrosine-peptide,biological
CC(C)C(C(=O)O)N,Valine,biological
CC(C)C(C(=O)[N])N,Valine-peptide,biological
[CH3]c1cc(O)ccc1,m-Cresol,biological
[CH3]c1c(O)cccc1,o-Cresol,biological
[CH3]c1ccc(O)cc1,p-Cresol,biological
O=C(O)C(=O)CCC(=O)O,α-Ketoglutaric acid,biological
